Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
b-eb-t5-2x54w-os-ram,OSRAM 2X54W 220-240V T5 ELECTRONIC FLUO BALLAST,Default Title,Default Title,,,,,+B EB T5/2X54W OS RAM,,,123 William Street,,,,,,,0
b-eb-t5-54w-osram,OSRAM 1x54W 220-240V T5 ELECTRONIC FLUO BALLAST,Default Title,Default Title,,,,,+B EB T5/54W OSRAM,,,123 William Street,,,,,,,0
b-eb1-0150-b011-t,ELECTRONIC BALLAST 150W MH (PCI 0150 B011) - TRIDONIC,Default Title,Default Title,,,,,+B EB1/0150/B011/T,,,123 William Street,,,,,,,0
b-eb113plc-philips,ELECTRONICS BALLAST (1X13W PLC) - PHILIPS,Default Title,Default Title,,,,,+B EB113PLC PHILIPS,,,123 William Street,,,,,,,0
b-eb118plc-philips,ELECTRONIC BALLAST (1X18W PLC) - PHILIPS,Default Title,Default Title,,,,,+B EB118PLC PHILIPS,,,123 William Street,,,,,,,0
b-eb118plc-vos,Electronic Ballast 1xPLC18W (540421) VOS-SWB,Default Title,Default Title,,,,,+B EB118PLC VOS,,,123 William Street,,,,,,,0
b-eb118tld-philips,ELECTRONIC BALLAST EBC 118TL-D 1x20W (PLL) - PHILIPS,Default Title,Default Title,,,,,+B EB118TLD PHILIPS,,,123 William Street,,,,,,,4
b-eb126plc-phlips,ELECTRONICS BALLAST (1X26W PLC) - PHILIPS,Default Title,Default Title,,,,,+B EB126PLC PHLIPS,,,123 William Street,,,,,,,0
b-eb-14,ELECTRONIC BALLAST EB-14 FOR PLC 13W (LANDLITE),Default Title,Default Title,,,,,+B EB-14,,,123 William Street,,,,,,,1
b-eb-18,ELECTRONIC BALLAST EB-18 FOR T5 2X8W (LANDLITE),Default Title,Default Title,,,,,+B EB-18,,,123 William Street,,,,,,,3
b-eb1x9-13plc-os-ram,ELECTRONIC BALLAST (1X9-13W) - OSRAM,Default Title,Default Title,,,,,+B EB1X9-13PLC OS RAM,,,123 William Street,,,,,,,0
b-eb213plc-philips,ELECTRONICS BALLAST (2X13PLC) - PHILIPS,Default Title,Default Title,,,,,+B EB213PLC PHILIPS,,,123 William Street,,,,,,,0
b-eb218plc-dali,TRIDONIC PCA ELECTRONIC BALLAST 2X18 PLC TC EXCEL,Default Title,Default Title,,,,,+B EB218PLC DALI,,,123 William Street,,,,,,,0
b-eb218plc-philips,ELECTRONICS BALLAST (2X18WPLC) - PHILIPS EBC,Default Title,Default Title,,,,,+B EB218PLC PHILIPS,,,123 William Street,,,,,,,0
b-eb218plc-vos,VOS-SWB ELECTRONIC BALLAST PLC 2X18W (183136),Default Title,Default Title,,,,,+B EB218PLC VOS,,,123 William Street,,,,,,,4
b-eb226plc-philips,ELECTRONICS BALLAST (2X26WPLC) - PHILIPS,Default Title,Default Title,,,,,+B EB226PLC PHILIPS,,,123 William Street,,,,,,,0
b-ebc-t5-228w-phi-lips,ELECTRONIC BALLAST EBC/T5 2X28W - PHILIPS,Default Title,Default Title,,,,,+B EBC T5/228W PHI LIPS,,,123 William Street,,,,,,,0
b-eb-pt5-14-35w-philips,ELECTRONIC BALLAST T5 1*14-35W EB-P - PHILIPS,Default Title,Default Title,,,,,+B EB-PT5/14-35W PHILIPS,,,123 William Street,,,,,,,0
b-ecxd700g-119,DIMMABLE LED DRIVER ECXd700G.119 CONST,Default Title,Default Title,,,,,+B ECXd700G.119,,,123 William Street,,,,,,,0
b-ed126plt-c-phili-ps,ELECTRONIC DIMMABLE BALLAST 72AR2 1x26W PLT/C,Default Title,Default Title,,,,,+B ED126PLT/C PHILI PS,,,123 William Street,,,,,,,0
b-ed218plc-atco,ELECTRONIC DIMMABLE BALLAST (2X18PLC) - ATCO,Default Title,Default Title,,,,,+B ED218PLC ATCO,,,123 William Street,,,,,,,0
b-ed218plc-ph,ELECTRONICS DIMMABLE BALLAST 2X18W (PLC) -,Default Title,Default Title,,,,,+B ED218PLC PH,,,123 William Street,,,,,,,0
b-ed218plc-vos,VOSSLOH ELXd 218.803 DIMMABLE ELECTRONIC,Default Title,Default Title,,,,,+B ED218PLC VOS,,,123 William Street,,,,,,,0
b-edt5-154-vos,VOSSLOH ELXd 154.611 DIMMABLE ELECTRONIC,Default Title,Default Title,,,,,+B EDT5/154 VOS,,,123 William Street,,,,,,,0
b-edt5-228-ph,DIMMABLE ELECTRONIC BALLAST 2xT5 28W PHILIPS,Default Title,Default Title,,,,,+B EDT5/228 PH,,,123 William Street,,,,,,,0
b-edt5-254-vos,VOSSLOH ELXd 254.612 DIMMABLE ELECTRONIC,Default Title,Default Title,,,,,+B EDT5/254 VOS,,,123 William Street,,,,,,,0
b-ele-100w-tdk,AC/DC POWERSUPPLY TDK LAMBDA HWS-100-12/A,Default Title,Default Title,,,,,+B ELE 100W TDK,,,123 William Street,,,,,,,0
b-ele-118-t8,T8 ELECTRONIC BALLAST 18W - EI,Default Title,Default Title,,,,,+B ELE 118(T8),,,123 William Street,,,,,,,26
b-ele-118sh-plc-p-lt,PLC/PLT 1*18W ELECTRONIC BALLAST - PHILIPS,Default Title,Default Title,,,,,+B ELE 118SH PLC/P LT,,,123 William Street,,,,,,,6
b-ele-12v50w,12V 50W ELECTRONIC TRANSFORMER - JINDEL,Default Title,Default Title,,,,,+B ELE 12V50W,,,123 William Street,,,,,,,0
b-ele-13-t4,T4 ELECTRONIC BALLAST 13W - OES,Default Title,Default Title,,,,,+B ELE 13(T4),,,123 William Street,,,,,,,4
b-ele-13-t5,T5 ELECTRONIC BALLAST 13W - OES,Default Title,Default Title,,,,,+B ELE 13(T5),,,123 William Street,,,,,,,62
b-ele-136-t8,T8 1X36W ELECTRONIC BALLAST - MEGAMAN,Default Title,Default Title,,,,,+B ELE 136(T8),,,123 William Street,,,,,,,1
b-ele-18-t4,T4 ELECTRONIC BALLAST 18W - OES,Default Title,Default Title,,,,,+B ELE 18(T4),,,123 William Street,,,,,,,2
b-ele-18w-eb-e,18W TLD ELECTRONICS BALLAST EB-E - PHILIPS,Default Title,Default Title,,,,,+B ELE 18W EB-E,,,123 William Street,,,,,,,0
